@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2}

@data
110,'2024/05/31 12:46:46:911',1,161,93,83,1
111,'2024/05/31 12:46:46:978',1,160,96,86,1
112,'2024/05/31 12:46:47:030',1,157,99,88,1
113,'2024/05/31 12:46:47:082',1,158,101,87,1
114,'2024/05/31 12:46:47:137',1,158,105,87,1
115,'2024/05/31 12:46:47:189',1,156,106,89,1
116,'2024/05/31 12:46:47:240',1,155,107,87,1
117,'2024/05/31 12:46:47:293',1,156,108,84,1
118,'2024/05/31 12:46:47:344',1,154,111,85,1
119,'2024/05/31 12:46:47:386',1,152,113,85,1
120,'2024/05/31 12:46:47:413',1,151,113,86,1
121,'2024/05/31 12:46:47:440',1,153,115,82,1
122,'2024/05/31 12:46:47:469',1,153,115,82,1
123,'2024/05/31 12:46:47:499',1,151,114,85,1
124,'2024/05/31 12:46:47:526',1,151,115,83,1
125,'2024/05/31 12:46:47:554',1,150,115,83,1
126,'2024/05/31 12:46:47:582',1,151,115,82,1
127,'2024/05/31 12:46:47:611',1,150,115,83,1
128,'2024/05/31 12:46:47:638',1,149,115,84,1
129,'2024/05/31 12:46:47:665',1,149,115,84,1
130,'2024/05/31 12:46:47:695',1,149,115,83,1
131,'2024/05/31 12:46:47:725',1,151,116,81,1
132,'2024/05/31 12:46:47:752',1,151,117,81,1
133,'2024/05/31 12:46:47:779',1,150,116,82,1
134,'2024/05/31 12:46:47:806',1,150,116,83,1
135,'2024/05/31 12:46:47:833',1,152,116,80,1
136,'2024/05/31 12:46:47:861',1,152,116,80,1
137,'2024/05/31 12:46:47:890',1,153,117,78,1
138,'2024/05/31 12:46:47:917',1,154,116,79,1
139,'2024/05/31 12:46:47:944',1,153,116,81,1
140,'2024/05/31 12:46:47:972',1,154,115,82,1
141,'2024/05/31 12:46:47:998',1,154,115,82,1
142,'2024/05/31 12:46:48:028',1,156,116,81,1
143,'2024/05/31 12:46:48:065',1,156,115,83,1
144,'2024/05/31 12:46:48:099',1,159,117,79,1
145,'2024/05/31 12:46:48:129',1,159,116,80,1
146,'2024/05/31 12:46:48:160',1,162,117,77,1
147,'2024/05/31 12:46:48:191',1,163,116,79,1
148,'2024/05/31 12:46:48:219',1,163,116,79,1
149,'2024/05/31 12:46:48:249',1,163,115,80,1
150,'2024/05/31 12:46:48:276',1,165,115,79,1
151,'2024/05/31 12:46:48:303',1,166,114,80,1
152,'2024/05/31 12:46:48:331',1,166,114,80,1
153,'2024/05/31 12:46:48:358',1,166,114,80,1
154,'2024/05/31 12:46:48:386',1,168,114,80,1
155,'2024/05/31 12:46:48:413',1,168,114,79,1
156,'2024/05/31 12:46:48:440',1,168,113,79,1
157,'2024/05/31 12:46:48:467',1,169,112,79,1
158,'2024/05/31 12:46:48:495',1,169,112,79,1
159,'2024/05/31 12:46:48:521',1,170,113,78,1
160,'2024/05/31 12:46:48:548',1,169,111,80,1
161,'2024/05/31 12:46:48:575',1,170,111,79,1
162,'2024/05/31 12:46:48:602',1,171,112,78,1
163,'2024/05/31 12:46:48:630',1,171,112,78,1
164,'2024/05/31 12:46:48:657',1,170,111,80,1
165,'2024/05/31 12:46:48:694',1,170,111,80,1
166,'2024/05/31 12:46:48:721',1,170,111,79,1
167,'2024/05/31 12:46:48:748',1,170,112,79,1
168,'2024/05/31 12:46:48:798',1,170,111,79,1
169,'2024/05/31 12:46:48:849',1,168,111,80,1
170,'2024/05/31 12:46:48:900',1,166,111,80,1
171,'2024/05/31 12:46:48:951',1,165,111,78,1
172,'2024/05/31 12:46:49:003',1,162,111,79,1
173,'2024/05/31 12:46:49:054',1,160,111,79,1
174,'2024/05/31 12:46:49:105',1,157,110,78,1
175,'2024/05/31 12:46:49:157',1,156,111,75,1
176,'2024/05/31 12:46:49:208',1,151,110,77,1
177,'2024/05/31 12:46:49:260',1,147,110,77,1
178,'2024/05/31 12:46:49:312',1,145,110,77,1
179,'2024/05/31 12:46:49:363',1,140,110,77,1
180,'2024/05/31 12:46:49:415',1,138,111,76,1
181,'2024/05/31 12:46:49:467',1,134,111,76,1
182,'2024/05/31 12:46:49:519',1,131,111,77,1
183,'2024/05/31 12:46:49:570',1,127,110,78,1
184,'2024/05/31 12:46:49:622',1,122,112,76,1
185,'2024/05/31 12:46:49:674',1,120,111,78,1
186,'2024/05/31 12:46:49:727',1,115,111,77,1
187,'2024/05/31 12:46:49:780',1,113,111,78,1
188,'2024/05/31 12:46:49:834',1,110,112,77,1
189,'2024/05/31 12:46:49:888',1,107,112,78,1
190,'2024/05/31 12:46:49:954',1,105,113,78,1
191,'2024/05/31 12:46:50:009',1,100,111,82,1
192,'2024/05/31 12:46:50:064',1,99,113,79,1
193,'2024/05/31 12:46:50:119',1,96,112,81,1
194,'2024/05/31 12:46:50:173',1,95,112,80,1
195,'2024/05/31 12:46:50:228',1,94,113,79,1
196,'2024/05/31 12:46:50:284',1,95,113,78,1
197,'2024/05/31 12:46:50:338',1,94,112,79,1
198,'2024/05/31 12:46:50:401',1,94,110,79,1
199,'2024/05/31 12:46:50:438',1,94,108,81,1
200,'2024/05/31 12:46:50:467',1,97,106,80,1
201,'2024/05/31 12:46:50:496',1,97,106,80,1
202,'2024/05/31 12:46:50:525',1,98,105,78,1
203,'2024/05/31 12:46:50:556',1,100,103,78,1
204,'2024/05/31 12:46:50:586',1,100,102,79,1
205,'2024/05/31 12:46:50:617',1,101,101,79,1
206,'2024/05/31 12:46:50:645',1,104,100,77,1
207,'2024/05/31 12:46:50:677',1,104,97,81,1
208,'2024/05/31 12:46:50:707',1,106,97,77,1
209,'2024/05/31 12:46:50:736',1,106,95,80,1
210,'2024/05/31 12:46:50:768',1,108,95,79,1
211,'2024/05/31 12:46:50:804',1,111,94,77,1
212,'2024/05/31 12:46:50:838',1,111,94,78,1
213,'2024/05/31 12:46:50:867',1,113,94,77,1
214,'2024/05/31 12:46:50:895',1,113,94,77,1
215,'2024/05/31 12:46:50:926',1,113,93,79,1
216,'2024/05/31 12:46:50:955',1,114,93,81,1
217,'2024/05/31 12:46:50:984',1,115,93,81,1
218,'2024/05/31 12:46:51:015',1,115,93,84,1
219,'2024/05/31 12:46:51:043',1,116,94,82,1
220,'2024/05/31 12:46:51:073',1,117,95,83,1
221,'2024/05/31 12:46:51:102',1,118,96,82,1
222,'2024/05/31 12:46:51:131',1,118,96,82,1
223,'2024/05/31 12:46:51:159',1,119,96,84,1
224,'2024/05/31 12:46:51:188',1,120,97,82,1
225,'2024/05/31 12:46:51:217',1,121,97,83,1
226,'2024/05/31 12:46:51:245',1,120,96,86,1
227,'2024/05/31 12:46:51:274',1,122,97,85,1
228,'2024/05/31 12:46:51:303',1,124,97,82,1
229,'2024/05/31 12:46:51:331',1,125,97,82,1
230,'2024/05/31 12:46:51:360',1,125,97,82,1
231,'2024/05/31 12:46:51:388',1,126,96,84,1
