@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2}

@data
478,'2024/05/31 12:47:09:228',2,0,0,0,2
479,'2024/05/31 12:47:09:254',2,0,0,0,2
480,'2024/05/31 12:47:09:281',2,0,0,0,2
481,'2024/05/31 12:47:09:307',2,0,0,0,2
482,'2024/05/31 12:47:09:333',2,0,0,0,2
483,'2024/05/31 12:47:09:360',2,0,0,0,2
484,'2024/05/31 12:47:09:386',2,0,0,0,2
485,'2024/05/31 12:47:09:412',2,0,0,0,2
486,'2024/05/31 12:47:09:439',2,0,0,0,2
487,'2024/05/31 12:47:09:465',2,0,0,0,2
488,'2024/05/31 12:47:09:491',2,0,0,0,2
489,'2024/05/31 12:47:09:518',2,0,0,0,2
490,'2024/05/31 12:47:09:545',2,0,0,0,2
491,'2024/05/31 12:47:09:573',2,0,0,0,2
492,'2024/05/31 12:47:09:599',2,0,0,0,2
493,'2024/05/31 12:47:09:624',2,0,0,0,2
494,'2024/05/31 12:47:09:651',2,0,0,0,2
495,'2024/05/31 12:47:09:677',2,0,0,0,2
496,'2024/05/31 12:47:09:703',2,0,0,0,2
497,'2024/05/31 12:47:09:729',2,0,0,0,2
498,'2024/05/31 12:47:09:755',2,0,0,0,2
499,'2024/05/31 12:47:09:782',2,0,0,0,2
500,'2024/05/31 12:47:09:808',2,0,0,0,2
501,'2024/05/31 12:47:09:834',2,0,0,0,2
502,'2024/05/31 12:47:09:860',2,0,0,0,2
503,'2024/05/31 12:47:09:886',2,0,0,0,2
504,'2024/05/31 12:47:09:912',2,0,0,0,2
505,'2024/05/31 12:47:09:939',2,0,0,0,2
506,'2024/05/31 12:47:09:965',2,0,0,0,2
507,'2024/05/31 12:47:09:990',2,0,0,0,2
508,'2024/05/31 12:47:10:016',2,0,0,0,2
509,'2024/05/31 12:47:10:043',2,0,0,0,2
510,'2024/05/31 12:47:10:069',2,0,0,0,2
511,'2024/05/31 12:47:10:095',2,0,0,0,2
512,'2024/05/31 12:47:10:122',2,0,0,0,2
513,'2024/05/31 12:47:10:149',2,0,0,0,2
514,'2024/05/31 12:47:10:176',2,0,0,0,2
515,'2024/05/31 12:47:10:205',2,0,0,0,2
516,'2024/05/31 12:47:10:232',2,0,0,0,2
517,'2024/05/31 12:47:10:258',2,0,0,0,2
518,'2024/05/31 12:47:10:285',2,0,0,0,2
519,'2024/05/31 12:47:10:312',2,0,0,0,2
520,'2024/05/31 12:47:10:339',2,0,0,0,2
521,'2024/05/31 12:47:10:367',2,0,0,0,2
522,'2024/05/31 12:47:10:394',2,0,0,0,2
523,'2024/05/31 12:47:10:422',2,0,0,0,2
524,'2024/05/31 12:47:10:450',2,0,0,0,2
525,'2024/05/31 12:47:10:481',2,0,0,0,2
526,'2024/05/31 12:47:10:531',2,0,0,0,2
527,'2024/05/31 12:47:10:581',2,0,0,0,2
528,'2024/05/31 12:47:10:630',2,0,0,0,2
529,'2024/05/31 12:47:10:679',2,0,0,0,2
530,'2024/05/31 12:47:10:729',2,0,0,0,2
531,'2024/05/31 12:47:10:779',2,0,0,0,2
532,'2024/05/31 12:47:10:828',2,0,0,0,2
533,'2024/05/31 12:47:10:877',2,0,0,0,2
534,'2024/05/31 12:47:10:926',2,0,0,0,2
535,'2024/05/31 12:47:10:975',2,0,0,0,2
536,'2024/05/31 12:47:11:025',2,0,0,0,2
537,'2024/05/31 12:47:11:075',2,0,0,0,2
538,'2024/05/31 12:47:11:124',2,0,0,0,2
539,'2024/05/31 12:47:11:173',2,0,0,0,2
540,'2024/05/31 12:47:11:223',2,0,0,0,2
541,'2024/05/31 12:47:11:272',2,0,0,0,2
542,'2024/05/31 12:47:11:322',2,0,0,0,2
543,'2024/05/31 12:47:11:372',2,0,0,0,2
544,'2024/05/31 12:47:11:422',2,0,0,0,2
545,'2024/05/31 12:47:11:472',2,0,0,0,2
546,'2024/05/31 12:47:11:521',2,0,0,0,2
547,'2024/05/31 12:47:11:571',2,0,0,0,2
548,'2024/05/31 12:47:11:621',2,0,0,0,2
549,'2024/05/31 12:47:11:671',2,0,0,0,2
550,'2024/05/31 12:47:11:723',2,0,0,0,2
551,'2024/05/31 12:47:11:773',2,0,0,0,2
552,'2024/05/31 12:47:11:824',2,0,0,0,2
553,'2024/05/31 12:47:11:876',2,0,0,0,2
554,'2024/05/31 12:47:11:927',2,0,0,0,2
555,'2024/05/31 12:47:11:979',2,0,0,0,2
556,'2024/05/31 12:47:12:030',2,0,0,0,2
557,'2024/05/31 12:47:12:082',2,0,0,0,2
558,'2024/05/31 12:47:12:130',2,0,0,0,2
559,'2024/05/31 12:47:12:158',2,0,0,0,2
560,'2024/05/31 12:47:12:186',2,0,0,0,2
561,'2024/05/31 12:47:12:213',2,0,0,0,2
562,'2024/05/31 12:47:12:240',2,0,0,0,2
563,'2024/05/31 12:47:12:268',2,0,0,0,2
564,'2024/05/31 12:47:12:296',2,0,0,0,2
565,'2024/05/31 12:47:12:323',2,0,0,0,2
566,'2024/05/31 12:47:12:351',2,0,0,0,2
567,'2024/05/31 12:47:12:380',2,0,0,0,2
568,'2024/05/31 12:47:12:409',2,0,0,0,2
569,'2024/05/31 12:47:12:438',2,0,0,0,2
570,'2024/05/31 12:47:12:467',2,0,0,0,2
571,'2024/05/31 12:47:12:497',2,0,0,0,2
572,'2024/05/31 12:47:12:527',2,0,0,0,2
573,'2024/05/31 12:47:12:556',2,0,0,0,2
574,'2024/05/31 12:47:12:585',2,0,0,0,2
575,'2024/05/31 12:47:12:614',2,0,0,0,2
576,'2024/05/31 12:47:12:644',2,0,0,0,2
577,'2024/05/31 12:47:12:673',2,0,0,0,2
578,'2024/05/31 12:47:12:702',2,0,0,0,2
579,'2024/05/31 12:47:12:732',2,0,0,0,2
580,'2024/05/31 12:47:12:762',2,0,0,0,2
581,'2024/05/31 12:47:12:792',2,0,0,0,2
